player,exception_score,exception_routes,best_preliminary_single_season,best_preliminary_three_year_window,best_legacy_window,included
John Drew,40.88,elite individual peak,52.7,50.5,52.3,False
Cliff Levingston,40.87,elite individual peak,54.5,52.8,54.8,False
Walt Williams,40.85,elite individual peak,49.2,47.9,48.8,False
Kenny Carr,40.83,elite individual peak,54.8,49.9,51.6,False
Ersan Ilyasova,40.8,elite individual peak,55.1,52.3,53.4,False
Jerami Grant,40.78,elite individual peak,50.0,46.8,47.8,False
Evan Turner,40.75,elite individual peak,52.8,48.5,49.9,False
Arron Afflalo,40.74,elite individual peak,47.3,45.7,47.1,False
Beno Udrih,40.68,elite individual peak,50.3,47.6,48.4,False
Ken Norman,40.65,elite individual peak,49.0,47.5,48.7,False
Andray Blatche,40.63,elite individual peak,59.4,45.9,47.0,False
Austin Croshere,40.63,elite individual peak,57.3,49.7,52.0,False
J.J. Hickson,40.62,elite individual peak,57.4,50.7,51.4,False
Lewis Lloyd,40.61,elite individual peak,53.5,50.5,52.5,False
Chris Mills,40.61,elite individual peak,49.1,47.7,48.8,False
Dino Radja,40.54,elite individual peak,53.1,50.2,51.3,False
Andres Nocioni,40.54,elite individual peak,57.0,49.8,51.6,False
Marvin Webster,40.51,elite individual peak,55.1,50.2,51.9,False
RJ Barrett,40.47,elite individual peak,47.9,45.9,46.7,False
Scott Burrell,40.47,elite individual peak,52.8,46.3,47.7,False
Desmond Mason,40.47,elite individual peak,47.7,46.2,47.4,False
Kent Benson,40.41,elite individual peak,50.0,48.9,50.1,False
Greivis Vasquez,40.4,elite individual peak,58.0,53.0,54.0,False
Devonte' Graham,40.39,elite individual peak,53.9,49.2,50.3,False
Mark Blount,40.37,elite individual peak,53.1,46.3,48.0,False
Chris Dudley,40.37,elite individual peak,55.8,52.6,53.8,False
Ruben Patterson,40.36,elite individual peak,53.5,50.3,51.3,False
Billy Knight,40.35,elite individual peak,56.9,50.0,51.2,False
Brandan Wright,40.32,elite individual peak,52.3,49.9,50.7,False
Dean Garrett,40.25,elite individual peak,56.4,49.4,50.8,False
Steve Kerr,40.25,elite individual peak,52.4,49.8,52.1,False
